cidade,cargo,total,telefone,endereco,email
Fortaleza - Centro,Ajudante de carga e descarga de mercadoria,4,(85) 3222.0340,Rua Rufino de Alencar,vagas.centro@idt.org.br
Fortaleza - Centro,Ajudante de motorista,1,(85) 3222.0340,Rua Rufino de Alencar,vagas.centro@idt.org.br
Fortaleza - Centro,Manobrista,2,(85) 3222.0340,Rua Rufino de Alencar,vagas.centro@idt.org.br
Fortaleza - Centro,Motofretista,11,(85) 3222.0340,Rua Rufino de Alencar,vagas.centro@idt.org.br
Fortaleza - Centro,Motorista entregador,1,(85) 3222.0340,Rua Rufino de Alencar,vagas.centro@idt.org.br
Fortaleza - Centro,Motorista de caminhão,1,(85) 3222.0340,Rua Rufino de Alencar,vagas.centro@idt.org.br
Fortaleza - Centro,"Operador de máquinas fixas, em geral",1,(85) 3222.0340,Rua Rufino de Alencar,vagas.centro@idt.org.br
Fortaleza - U.a. antônio bezerra,Motorista entregador,1,(85) 2180-6216,Av. Demétrio de Menezes,vagas.antoniobezerra@idt.org.br
Fortaleza - U.a. antônio bezerra,Ajudante de motorista,1,(85) 2180-6216,Av. Demétrio de Menezes,vagas.antoniobezerra@idt.org.br
Fortaleza - U.a. messejana,Ajudante de carga e descarga de mercadoria,5,(85) 2180-6217,Av. Jornalista Tomaz Coelho,vagas.messejana@idt.org.br
Fortaleza - U.a. messejana,Motorista carreteiro,2,(85) 2180-6217,Av. Jornalista Tomaz Coelho,vagas.messejana@idt.org.br
Fortaleza - U.a. messejana,Motorista de caminhão,1,(85) 2180-6217,Av. Jornalista Tomaz Coelho,vagas.messejana@idt.org.br
Fortaleza - U.a. messejana,"Operador de máquinas fixas, em geral",2,(85) 2180-6217,Av. Jornalista Tomaz Coelho,vagas.messejana@idt.org.br
Fortaleza - Casa do cidadão benfica,Motorista entregador,1,(85) 2180-6215,Av. Carapinima,vagas.benfica@idt.org.br
Aracati,Motorista entregador,2,(85) 2180-6227,Rua Cel. Alexanzito,vagas.aracati@idt.org.br
Canindé,Ajudante de motorista,1,,Rua Praça Frei Matias,
Canindé,Caminhoneiro caçambeiro,1,,Rua Praça Frei Matias,
Canindé,Motofretista,1,,Rua Praça Frei Matias,
Crateús,Caminhoneiro caçambeiro,1,(85) 2180-6230,Rua Dom Pedro II,vagas.crateus@idt.org.br
Crateús,Motofretista,1,(85) 2180-6230,Rua Dom Pedro II,vagas.crateus@idt.org.br
Crateús,Motorista de caminhão,1,(85) 2180-6230,Rua Dom Pedro II,vagas.crateus@idt.org.br
Crateús,Motorista de caminhão guincho pesado com munk,1,(85) 2180-6230,Rua Dom Pedro II,vagas.crateus@idt.org.br
Crateús,Motorista entregador,3,(85) 2180-6230,Rua Dom Pedro II,vagas.crateus@idt.org.br
Eusébio,Ajudante de carga e descarga de mercadoria,12,(85) 2180-6218,Rua Irmã Ambrosina,vagas.eusebio@idt.org.br
Eusébio,Ajudante de motorista,4,(85) 2180-6218,Rua Irmã Ambrosina,vagas.eusebio@idt.org.br
Horizonte,Ajudante de carga e descarga de mercadoria,1,(85) 2180-6219,Avenida Presidente Castelo Branco,vagas.horizonte@idt.org.br
Horizonte,Entregador de gás (ajudante de caminhão),2,(85) 2180-6219,Avenida Presidente Castelo Branco,vagas.horizonte@idt.org.br
Horizonte,Motofretista,1,(85) 2180-6219,Avenida Presidente Castelo Branco,vagas.horizonte@idt.org.br
Horizonte,Motorista de caminhão,1,(85) 2180-6219,Avenida Presidente Castelo Branco,vagas.horizonte@idt.org.br
Horizonte,Ajudante de carga e descarga de mercadoria,1,(85) 2180-6219,Avenida Presidente Castelo Branco,vagas.horizonte@idt.org.br
Iguatu,Ajudante de carga e descarga de mercadoria,1,(85) 2180-6226,Rua Floriano Peixoto,vagas.iguatu@idt.org.br
Iguatu,Manobrista,1,(85) 2180-6226,Rua Floriano Peixoto,vagas.iguatu@idt.org.br
Juazeiro do norte,Ajudante de carga e descarga de mercadoria,3,(88) 2180-6225,Rua Interventor Francisco Erivano Cruz,vagas.juazeirodonorte@idt.org.br
Juazeiro do norte,Ajudante de motorista,1,(88) 2180-6225,Rua Interventor Francisco Erivano Cruz,vagas.juazeirodonorte@idt.org.br
Juazeiro do norte,Entregador de gás (ajudante de caminhão),1,(88) 2180-6225,Rua Interventor Francisco Erivano Cruz,vagas.juazeirodonorte@idt.org.br
Juazeiro do norte,Motorista de caminhão,1,(88) 2180-6225,Rua Interventor Francisco Erivano Cruz,vagas.juazeirodonorte@idt.org.br
Juazeiro do norte,Motorista de caminhão guincho pesado com munk,2,(88) 2180-6225,Rua Interventor Francisco Erivano Cruz,vagas.juazeirodonorte@idt.org.br
Juazeiro do norte,Motorista entregador,6,(88) 2180-6225,Rua Interventor Francisco Erivano Cruz,vagas.juazeirodonorte@idt.org.br
Juazeiro do norte,Ajudante de carga e descarga de mercadoria,3,(88) 2180-6225,Rua Interventor Francisco Erivano Cruz,vagas.juazeirodonorte@idt.org.br
Limoeiro do norte,Ajudante de carga e descarga de mercadoria,1,(85) 2180-6228,Rua José Satino,vagas.limoeirodonorte@idt.org.br
Limoeiro do norte,Ajudante de motorista,1,(85) 2180-6228,Rua José Satino,vagas.limoeirodonorte@idt.org.br
Limoeiro do norte,Motorista de caminhão,1,(85) 2180-6228,Rua José Satino,vagas.limoeirodonorte@idt.org.br
Limoeiro do norte,Motorista de ônibus rodoviário,1,(85) 2180-6228,Rua José Satino,vagas.limoeirodonorte@idt.org.br
Maracanaú,Ajudante de carga e descarga de mercadoria,38,(85) 2180-6220,Av. Senador Virgílio Távora,vagas.maracanau@idt.org.br
Maracanaú,Ajudante de motorista,7,(85) 2180-6220,Av. Senador Virgílio Távora,vagas.maracanau@idt.org.br
